iter	Passed	Remaining
697	912	395
698	913	393
699	914	392
700	915	390
701	916	389
702	917	387
703	918	386
704	920	385
705	921	383
706	922	382
707	923	380
708	924	379
709	925	377
710	926	376
711	927	375
712	928	373
713	929	372
714	930	370
715	931	369
716	932	367
717	932	366
718	933	365
719	935	363
720	936	362
721	937	361
722	938	359
723	939	358
724	940	356
725	941	355
726	942	353
727	943	352
728	944	351
729	945	349
730	946	348
731	948	347
732	949	345
733	950	344
734	951	343
735	952	341
736	953	340
737	954	339
738	955	337
739	956	336
740	957	334
741	958	333
742	959	331
743	961	330
744	962	329
745	963	327
746	965	327
747	967	325
748	967	324
749	968	322
750	970	321
751	971	320
752	972	318
753	973	317
754	974	316
755	974	314
756	975	313
757	976	311
758	977	310
759	980	309
760	981	308
761	982	306
762	983	305
763	984	304
764	985	302
765	985	301
766	986	299
767	987	298
768	988	297
769	990	295
770	991	294
771	992	293
772	993	291
773	994	290
774	995	289
775	996	287
776	997	286
777	998	285
778	999	283
779	1000	282
780	1001	280
781	1002	279
782	1003	277
783	1005	276
784	1006	275
785	1007	274
786	1008	272
787	1009	271
788	1010	270
789	1011	268
790	1012	267
791	1013	266
792	1014	264
793	1016	263
794	1017	262
795	1019	261
796	1020	259
797	1021	258
798	1021	257
799	1022	255
800	1024	254
801	1025	253
802	1026	251
803	1027	250
804	1028	249
805	1029	247
806	1031	246
807	1033	245
808	1034	244
809	1036	243
810	1037	241
811	1038	240
812	1039	239
813	1041	237
814	1042	236
815	1043	235
816	1044	233
817	1045	232
818	1046	231
819	1047	229
820	1048	228
821	1050	227
822	1051	226
823	1053	225
824	1055	223
825	1056	222
826	1057	221
827	1058	219
828	1059	218
829	1060	217
830	1061	215
831	1062	214
832	1063	213
833	1065	211
834	1066	210
835	1067	209
836	1070	208
837	1071	207
838	1072	205
839	1074	204
840	1075	203
841	1076	202
842	1077	200
843	1079	199
844	1080	198
845	1081	196
846	1082	195
847	1084	194
848	1085	193
849	1086	191
850	1088	190
851	1089	189
852	1090	187
853	1091	186
854	1092	185
855	1093	183
856	1094	182
857	1095	181
858	1096	179
859	1097	178
860	1099	177
861	1100	176
862	1101	174
863	1102	173
864	1103	172
865	1105	171
866	1107	169
867	1108	168
868	1109	167
869	1110	165
870	1111	164
871	1113	163
872	1114	162
873	1115	160
874	1116	159
875	1117	158
876	1118	156
877	1119	155
878	1120	154
879	1121	152
880	1122	151
881	1123	150
882	1125	149
883	1127	147
884	1130	146
885	1131	145
886	1132	144
887	1133	143
888	1134	141
889	1135	140
890	1137	139
891	1138	137
892	1139	136
893	1140	135
894	1141	133
895	1142	132
896	1144	131
897	1146	130
898	1147	128
899	1149	127
900	1150	126
901	1151	125
902	1152	123
903	1153	122
904	1154	121
905	1155	119
906	1156	118
907	1157	117
908	1159	116
909	1160	114
910	1161	113
911	1162	112
912	1164	110
913	1165	109
914	1166	108
915	1167	107
916	1168	105
917	1169	104
918	1170	103
919	1171	101
920	1172	100
921	1174	99
922	1175	98
923	1177	96
924	1178	95
925	1179	94
926	1180	92
927	1181	91
928	1182	90
929	1184	89
930	1185	87
931	1186	86
932	1187	85
933	1189	84
934	1190	82
935	1191	81
936	1192	80
937	1193	78
938	1194	77
939	1195	76
940	1196	74
941	1197	73
942	1198	72
943	1198	71
944	1200	69
945	1200	68
946	1201	67
947	1203	66
948	1204	64
949	1205	63
950	1206	62
951	1207	60
952	1208	59
953	1209	58
954	1210	57
955	1211	55
956	1212	54
957	1213	53
958	1214	51
959	1215	50
960	1216	49
961	1217	48
962	1218	46
963	1219	45
964	1220	44
965	1221	43
966	1222	41
967	1223	40
968	1225	39
969	1226	37
970	1227	36
971	1228	35
972	1231	34
973	1232	32
974	1234	31
975	1235	30
976	1236	29
977	1237	27
978	1238	26
979	1239	25
980	1240	24
981	1241	22
982	1242	21
983	1243	20
984	1244	18
985	1245	17
986	1246	16
987	1247	15
988	1249	13
989	1250	12
990	1251	11
991	1252	10
992	1253	8
993	1254	7
994	1255	6
995	1256	5
996	1258	3
997	1259	2
998	1260	1
999	1261	0
